height radius accuracy
2.0339 1.3462 98.6093
2.1695 1.3462 98.6233
2.3051 1.3462 98.6823
2.4407 1.3462 98.8583
2.5763 1.3462 99.1774
2.7119 1.3462 99.5699
2.8475 1.3462 99.9797
2.9831 1.3462 100.3015
3.1186 1.3462 100.4934
3.2542 1.3462 100.6161
3.3898 1.3462 100.7381
3.5254 1.3462 100.9337
3.6610 1.3462 101.5799
3.7966 1.3462 102.4711
3.9322 1.3462 103.0523
4.0678 1.3462 103.0601
4.2034 1.3462 102.5092
4.3390 1.3462 101.5068
4.4746 1.3462 100.3827
4.6102 1.3462 99.2995
4.7458 1.3462 98.1777
4.8814 1.3462 96.8008
5.0169 1.3462 94.8401
5.1525 1.3462 92.2340
5.2881 1.3462 89.2141
5.4237 1.3462 86.1220
5.5593 1.3462 83.1686
5.6949 1.3462 80.4001
5.8305 1.3462 77.6081
5.9661 1.3462 74.4462
6.1017 1.3462 70.8037
6.2373 1.3462 66.6625
6.3729 1.3462 62.3571
6.5085 1.3462 58.3614
6.6441 1.3462 54.7292
6.7797 1.3462 51.1855
6.9153 1.3462 47.3382
7.0508 1.3462 42.8645
7.1864 1.3462 37.4958
7.3220 1.3462 31.4463
7.4576 1.3462 25.0957
7.5932 1.3462 18.7191
7.7288 1.3462 12.4091
7.8644 1.3462 6.1171
8.0000 1.3462 -0.0555
0.0000 1.5385 97.3833
0.1356 1.5385 97.2844
0.2712 1.5385 97.3999
0.4068 1.5385 97.7301
0.5424 1.5385 97.9053
0.6780 1.5385 97.8267
0.8136 1.5385 97.6848
0.9492 1.5385 97.5958
1.0847 1.5385 97.6310
1.2203 1.5385 97.8724
1.3559 1.5385 98.2214
1.4915 1.5385 98.4925
1.6271 1.5385 98.5256
1.7627 1.5385 98.5227
1.8983 1.5385 98.6104
2.0339 1.5385 98.6073
2.1695 1.5385 98.6133
2.3051 1.5385 98.6937
2.4407 1.5385 98.9388
2.5763 1.5385 99.2762
2.7119 1.5385 99.6645
2.8475 1.5385 100.0523
2.9831 1.5385 100.3668
3.1186 1.5385 100.5614
3.2542 1.5385 100.6882
3.3898 1.5385 100.8033
3.5254 1.5385 101.1955
3.6610 1.5385 101.9358
3.7966 1.5385 102.7194
3.9322 1.5385 103.1950
4.0678 1.5385 103.1505
4.2034 1.5385 102.6017
4.3390 1.5385 101.6173
4.4746 1.5385 100.3625
4.6102 1.5385 99.0167
4.7458 1.5385 97.6593
4.8814 1.5385 96.1339
5.0169 1.5385 94.0568
5.1525 1.5385 91.3486
5.2881 1.5385 88.2893
5.4237 1.5385 85.2519
5.5593 1.5385 82.3343
5.6949 1.5385 79.4463
5.8305 1.5385 76.4055
5.9661 1.5385 73.0703
6.1017 1.5385 69.3479
6.2373 1.5385 65.2317
6.3729 1.5385 60.9427
6.5085 1.5385 56.7894
6.6441 1.5385 52.9153
6.7797 1.5385 49.2591
6.9153 1.5385 45.4542
7.0508 1.5385 41.0705
7.1864 1.5385 35.8139
7.3220 1.5385 29.9798
7.4576 1.5385 23.9690
7.5932 1.5385 17.9995
7.7288 1.5385 12.0226
7.8644 1.5385 6.0313
8.0000 1.5385 0.1582
0.0000 1.7308 97.5329
0.1356 1.7308 97.4862
0.2712 1.7308 97.6838
0.4068 1.7308 97.9801
